"CELLID","Cell_ID"
"061044","2101"
"061071","3296"
"061072","3418"
"061073","3519"
"061101","5056"
"061102","5177"
"061103","5305"
"061104","5436"
"061105","5573"
"061106","5730"
"061107","5885"
"061108","6040"
"061109","6189"
"061110","6339"
"061111","6502"
"061114","6788"
"061138","7967"
"062020","712"
"062021","800"
"062022","889"
"062023","984"
"062024","1087"
"062025","1182"
"062040","1804"
"062044","2102"
"062071","3297"
"062072","3419"
"062073","3520"
"062101","5057"
"062102","5178"
"062103","5306"
"062104","5437"
"062105","5574"
"062106","5731"
"062107","5886"
"062108","6041"
"062109","6190"
"062110","6340"
"062111","6503"
"062112","6611"
"062113","6711"
"062114","6789"
"062138","7968"
"063021","801"
"063022","890"
"063023","985"
"063024","1088"
"063025","1183"
"063040","1805"
"063044","2103"
"063071","3298"
"063072","3420"
"063073","3521"
"063100","4946"
"063101","5058"
"063102","5179"
"063103","5307"
"063104","5438"
"063105","5575"
"063106","5732"
"063107","5887"
"063108","6042"
"063109","6191"
"063110","6341"
"063111","6504"
"063138","7969"
"064021","802"
"064022","891"
"064023","986"
"064024","1089"
"064025","1184"
"064040","1806"
"064044","2104"
"064071","3299"
"064072","3421"
"064073","3522"
"064100","4947"
"064101","5059"
"064102","5180"
"064103","5308"
"064104","5439"
"064105","5576"
"064106","5733"
"064107","5888"
"064108","6043"
"064109","6192"
"064110","6342"
"064111","6505"
"064112","6612"
"064138","7970"
"065021","803"
"065022","892"
"065023","987"
"065024","1090"
"065025","1185"
"065040","1807"
"065044","2105"
"065071","3300"
"065072","3422"
"065073","3523"
"065103","5309"
"065104","5440"
"065105","5577"
"065106","5734"
"065107","5889"
"065108","6044"
"065109","6193"
"065110","6343"
"065111","6506"
"065112","6613"
"065138","7971"
"066021","804"
"066022","893"
"066023","988"
"066024","1091"
"066025","1186"
"066040","1808"
"066044","2106"
"066071","3301"
"066072","3423"
"066073","3524"
"066103","5310"
"066104","5441"
"066105","5578"
"066106","5735"
"066107","5890"
"066108","6045"
"066109","6194"
"066110","6344"
"066111","6507"
"066112","6614"
"066113","6712"
"066114","6790"
"066115","6854"
"066116","6915"
"066138","7972"
"067021","805"
"067022","894"
"067023","989"
"067024","1092"
"067025","1187"
"067040","1809"
"067044","2107"
"067071","3302"
"067072","3424"
"067073","3525"
"067103","5311"
"067104","5442"
"067105","5579"
"067106","5736"
"067107","5891"
"067108","6046"
"067109","6195"
"067110","6345"
"067111","6508"
"067112","6615"
"067138","7973"
"068021","806"
"068022","895"
"068023","990"
"068024","1093"
"068025","1188"
"068040","1810"
"068044","2108"
"068069","3111"
"068070","3199"
"068071","3303"
"068072","3425"
"068073","3526"
"068099","4869"
"068102","5181"
"068103","5312"
"068104","5443"
"068105","5580"
"068106","5737"
"068107","5892"
"068108","6047"
"068109","6196"
"068138","7974"
"069021","807"
"069022","896"
"069023","991"
"069024","1094"
"069025","1189"
"069040","1811"
"069044","2109"
"069069","3112"
"069070","3200"
"069071","3304"
"069072","3426"
"069073","3527"
"069099","4870"
"069102","5182"
"069103","5313"
"069104","5444"
"069105","5581"
"069106","5738"
"069107","5893"
"069108","6048"
"069109","6197"
"069138","7975"
"070021","808"
"070022","897"
"070023","992"
"070024","1095"
"070025","1190"
"070040","1812"
"070044","2110"
"070068","3025"
"070069","3113"
"070070","3201"
"070071","3305"
"070072","3427"
"070073","3528"
"070097","4762"
"070098","4812"
"070099","4871"
"070100","4948"
"070101","5060"
"070102","5183"
"070103","5314"
"070104","5445"
"070105","5582"
"070106","5739"
"070107","5894"
"070108","6049"
"070109","6198"
"070110","6346"
"070138","7976"
"071021","809"
"071022","898"
"071023","993"
"071024","1096"
"071025","1191"
"071040","1813"
"071044","2111"
"071069","3114"
"071070","3202"
"071071","3306"
"071072","3428"
"071073","3529"
"071099","4872"
"071100","4949"
"071101","5061"
"071102","5184"
"071103","5315"
"071104","5446"
"071105","5583"
"071106","5740"
"071107","5895"
"071108","6050"
"071109","6199"
"071110","6347"
"071111","6509"
"071138","7977"
"072020","713"
"072021","810"
"072022","899"
"072023","994"
"072024","1097"
"072025","1192"
